Sport,Age,Height,Weight,Sex
Volleyball,29.0,203.0,105.0,M
Athletics,18.0,170.0,63.0,M
Athletics,18.0,170.0,63.0,M
Fencing,,,,M
Canoeing,25.0,,,F
Athletics,24.0,182.0,82.0,M
Fencing,26.0,180.0,78.0,M
Table Tennis,25.0,185.0,76.0,M
Football,26.0,,,M
Athletics,29.0,164.0,51.0,M
Archery,43.0,,,F
Athletics,30.0,172.0,50.0,M
Football,22.0,165.0,62.0,M
Volleyball,27.0,186.0,78.0,F
Swimming,17.0,163.0,59.0,F
Shooting,30.0,170.0,83.0,M
Basketball,21.0,185.0,,M
Cycling,25.0,172.0,62.0,M
Cycling,25.0,172.0,62.0,M
Rowing,24.0,198.0,102.0,M
Athletics,18.0,168.0,58.0,M
Cycling,27.0,171.0,64.0,M
Boxing,30.0,167.0,60.0,F
Athletics,25.0,188.0,88.0,M
Shooting,,,,M
Athletics,26.0,176.0,62.0,M
Athletics,26.0,178.0,64.0,M
Diving,40.0,,,M
Fencing,42.0,,,F
Athletics,20.0,180.0,92.0,F
Cycling,23.0,182.0,79.0,M
Athletics,26.0,,,M
Athletics,24.0,182.0,77.0,M
Basketball,32.0,211.0,113.0,M
Hockey,31.0,186.0,78.0,M
Basketball,31.0,206.0,98.0,M
Boxing,26.0,172.0,57.0,M
Art Competitions,40.0,,,M
Athletics,22.0,170.0,52.0,F
Water Polo,27.0,,,M
Athletics,27.0,,,F
Athletics,18.0,160.0,50.0,F
Wrestling,22.0,,,M
Swimming,23.0,,,F
Swimming,23.0,,,F
Athletics,25.0,190.0,85.0,M
Wrestling,30.0,,,M
Football,30.0,168.0,73.0,M
Athletics,19.0,165.0,60.0,M
Swimming,17.0,171.0,60.0,F
Canoeing,23.0,184.0,80.0,M
Boxing,22.0,168.0,62.0,M
Volleyball,20.0,194.0,68.0,F
Football,26.0,172.0,62.0,F
Football,19.0,178.0,72.0,M
Boxing,21.0,170.0,,M
Athletics,21.0,185.0,75.0,M
Athletics,21.0,175.0,59.0,M
Athletics,21.0,175.0,59.0,M
Football,21.0,160.0,52.0,F
Football,21.0,161.0,52.0,F
